INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
Center for Massage,3,6333,NA,0.619047619,57
The Academy of Hair Design LLC,3,9833,NA,0.3289473684,57
COLLECTIV Academy-Cranston,3,7667,NA,0.5,113
South Texas Training Center,3,3500,NA,0.3893442623,276
Columbia College,3,6035,NA,0.75,239
Vermont College of Fine Arts,2,NA,NA,PS,NA
Advanced Welding Institute,3,5077,NA,0.775,97
Paul Mitchell the School-Memphis,3,9833,NA,0.3588516746,189
Pima Medical Institute-East Valley,3,9500,NA,0.4626200015,373
Paul Mitchell the School-Cleveland,3,9833,NA,0.27,142
Paul Mitchell the School-Columbus,3,9833,NA,0.4,166
Empire Beauty School-Spring Lake Park,3,7667,NA,0.2771362587,80
MediaTech Institute-Houston,3,14750,NA,0.3720430108,96
Miller-Motte College-Raleigh,3,10661,NA,0.3413775767,214
Lamson Institute,3,7600,NA,0.3538011696,443
College of Hair Design-East Campus,3,8031,NA,0.4664804469,116
Fortis College-Salt Lake City,3,11501,NA,0.3052090976,371
Polytechnic University of Puerto Rico-Miami,2,12830,PS,0.53375695,29
Polytechnic University of Puerto Rico-Orlando,2,12830,PS,0.53375695,102
Ross Medical Education Center-Fort Wayne,3,5500,NA,0.3177172061,124
Ross Medical Education Center-Battle Creek,3,7504,NA,0.2767894084,46
Geisinger Commonwealth School of Medicine,2,PS,NA,NA,63
Josef's School of Hair Skin & Body-Fargo,3,6337,NA,0.5606936416,74
Miller-Motte College-Berks Technical Institute-Allentown,3,10661,NA,0.3413775767,277
Salon Success Academy-Fontana,3,7176,NA,0.4431818182,34
Salon Success Academy-Redlands,3,7176,NA,0.4431818182,259
Strayer University-West Virginia,3,14000,PS,0.2382231351,377
Paul Mitchell the School-Baton Rouge,3,9833,NA,0.5287671233,224
San Joaquin Valley College-Hesperia,3,9773,NA,0.3015602145,437
South Texas Vocational Technical Institute-Brownsville,3,10661,NA,0.3413775767,176
Miller-Motte College-STVT-Corpus Christi,3,10661,NA,0.3413775767,392
University of Minnesota-Rochester,1,16727,0.5766,0.7469647492,568
Health And Style Institute,3,5500,NA,0.1296296296,1112
CBT Technology Institute-Cutler Bay,3,8500,NA,0.4349030471,262
Capri Beauty College,3,9833,NA,0.4144144144,84
Milan Institute-Bakersfield,3,6333,NA,0.2476060192,514
Homestead Schools,2,18040,0.9138,0.3884615385,176
Carrington College-Las Vegas,3,9298,NA,0.3293361884,359
Carrington College-Reno,3,12094,NA,0.4466248038,500
Chamberlain University-Florida,3,16458,PS,0.595370464,839
Washington Barber College Inc,3,13022,NA,0.2405063291,51
InterCoast Colleges-Rancho Cordova,3,9500,NA,0.2539377641,78
Horizon University,2,PS,NA,PS,58
Beyond 21st Century Beauty Academy,3,3000,NA,PS,102
Academy for Jewish Religion California,2,NA,NA,NA,NA
Angeles College,3,16000,0.929,0.4923076923,484
Angeles Institute,3,14377,NA,0.4238683128,132
Paul Mitchell the School-Temecula,3,10556,NA,0.4426229508,275
TIGI Hairdressing Academy Guilford,3,9659,NA,0.5757575758,63
International Institute of Cosmetology,3,9833,NA,0.656,184
Florida School of Traditional Midwifery,2,35157,NA,0.3333333333,73
Emerald Coast Technical College,1,PS,NA,NA,170
Immokalee Technical College,1,PS,NA,NA,280
American Academy of Cosmetology,3,6333,NA,0.248447205,96
University of Fort Lauderdale,2,5500,PS,PS,259
Aviation Institute of Maintenance-Orlando,3,24250,NA,0.2817460317,297
Summit Salon Academy,3,7389,NA,0.4329268293,222
Summit Salon Academy-Gainesville,3,7667,NA,0.237704918,146
Tenaj Salon Institute,3,9500,NA,0.25,62
Profile Institute of Barber-Styling,3,16500,NA,PS,26
Keune Academy by 124,3,9833,NA,0.4568965517,120
Pacific Rim Christian University,2,13616,0.5313,NA,113
Paul Mitchell the School-Twin Falls,3,4750,NA,PS,62
Ambria College of Nursing,3,9500,NA,0.5866666667,195
Midwestern Career College,3,7521,NA,0.3069306931,824
Paul Mitchell the School-Normal,3,9833,NA,0.5,79
Aveda Fredric's Institute-Indianapolis,3,7389,NA,0.5375722543,266
Summit Salon Academy,3,7389,NA,0.3253012048,127
Eric Fisher Academy,3,8986,NA,0.436,178
My Le's Beauty College,3,PS,NA,NA,84
Blackstone Valley Vocational Regional School District,1,7454,NA,0.5882352941,40
Southern Worcester County Regional Vocational School District,1,9500,NA,0.6216216216,39
L'esprit Academy,3,6333,NA,0.3668639053,273
Marketti Academy of Cosmetology,3,7081,NA,NA,45
Avalon School of Cosmetology,3,PS,NA,NA,18
City Vision University,2,PS,NA,PS,188
Montana Academy of Salons,3,9500,NA,0.5438596491,147
National Career Institute,3,6756,NA,0.0944444444,148
Paul Mitchell the School-Albuquerque,3,7667,NA,0.2878787879,113
International Academy of Style,3,6333,NA,0.5,109
EDP School,2,PS,NA,NA,155
New York Medical Career Training Center,3,12239,NA,0.5687203791,87
Institute of Culinary Education,3,3972,NA,0.7310469314,637
The Salon Professional Academy-Tonawanda,3,6333,NA,0.5098039216,139
Paul Mitchell the School-NYC,3,5500,NA,0.4324324324,75
Four County Career Center,1,PS,NA,NA,129
Summit Salon Academy-Perrysburg,3,7917,NA,0.5154639175,108
Portland Actors Conservatory,2,PS,NA,PS,13
Somerset County Technology Center,1,11500,NA,0.4864864865,50
Metro Beauty Academy,3,8028,NA,0.4966666667,174
Academy for Careers and Technology,1,PS,NA,NA,45
Love Beauty School Inc,3,6333,NA,0.2380952381,64
Houston International College Cardiotech Ultrasound School,3,14750,NA,0.56,41
DuVall's School of Cosmetology,3,7796,NA,0.4966442953,89
Texas Beauty College,3,PS,NA,NA,59
Avenue Five Institute,3,7917,NA,0.5141955836,267
The Salon Professional Academy-Lewisville,3,7917,NA,0.4044117647,127
Renaissance Academie,3,5500,NA,0.4096385542,206
Ascent College,2,PS,PS,PS,85
Institute of Advanced Medical Esthetics,3,9500,NA,PS,37
Aveda Arts & Sciences Institute Seattle,3,7773,NA,0.5348837209,157
Northwest School of Wooden Boat Building,2,PS,NA,0.6857142857,43
The Salon Professional Academy-Onalaska,3,7917,NA,0.4074074074,76
West Coast University-Orange County,3,24145,0.6111,0.69375,3168
West Coast University-Ontario,3,24145,0.6,0.69375,2647
Paul Mitchell the School-Chicago,3,9500,NA,0.3719512195,145
Miller-Motte College-Fayetteville,3,10661,NA,0.3413775767,169
European Massage Therapy School-Las Vegas,3,5657,NA,0.7162162162,83
Miller-Motte College-Columbus,3,10661,NA,0.3413775767,270
Fortis College-Indianapolis,3,12949,NA,0.2004830918,265
Empire Beauty School-E Memphis,3,6633,NA,0.2742574257,216
Empire Beauty School-Nashville,3,7851,NA,0.2978723404,125
Empire Beauty School-Jackson,3,6756,NA,0.2741273101,44
Empire Beauty School-Springfield,3,8028,NA,0.2879914984,174
Empire Beauty School-Speedway,3,7050,NA,0.2604951561,209
Empire Beauty School-Morrow,3,6756,NA,0.2741273101,209
Strayer University-Arkansas,3,14000,PS,0.2382231351,456
Strayer University-Georgia,3,14000,0.2703,0.2382231351,4878
Strayer University-Mississippi,3,14000,NA,0.2382231351,400
Strayer University-South Carolina,3,14000,PS,0.2382231351,1830
Strayer University-Texas,3,14000,PS,0.2382231351,2397
Empire Beauty School-Charlotte,3,6222,NA,0.2591424968,81
Empire Beauty School-Winston-Salem,3,6756,NA,0.2741273101,72
Empire Beauty School-West Palm,3,8028,NA,0.2879914984,58
Empire Beauty School-Pineville,3,7667,NA,0.2771362587,81
Paul Mitchell the School-Phoenix,3,11200,NA,0.3133640553,102
Paul Mitchell the School-Modesto,3,6211,NA,0.3841336117,305
Paul Mitchell the School-Fresno,3,9500,NA,0.3376205788,262
Unitek College,3,9769,0.7445,0.6733556299,4715
Gurnick Academy of Medical Arts,3,16832,0.7023,0.5685579196,2844
Paul Mitchell the School-East Bay,3,10513,NA,0.5275362319,212
South University-Richmond,3,13000,0.2093,0.2547585843,244
South University-Virginia Beach,3,13000,0.2162,0.2547585843,252
Aveda Institute-Denver,3,6500,NA,0.5204918033,316
Paul Mitchell the School-Colorado Springs,3,6333,NA,0.3680781759,169
The Salon Professional Academy-Colorado Springs,3,6333,NA,0.4545454545,85
Paul Mitchell the School-Delaware,3,9833,NA,0.3139013453,130
Fred K Marchman Technical College,1,PS,NA,NA,322
The Salon Professional Academy-Ft Myers,3,7667,NA,0.2837837838,104
Universal Spa Training Academy,3,6861,NA,0.5319148936,144
The Salon Professional Academy-Evansville,3,9500,NA,0.514619883,169
Tri County Regional Vocational Technical High School,1,PS,NA,NA,64
Nova Academy of Cosmetology,3,7863,NA,0.465648855,174
Sage School of Massage & Esthetics,3,7811,NA,PS,26
Peloton College,3,9500,NA,0.1830985915,63
ABC Beauty Academy,3,PS,NA,NA,65
Salon & Spa Institute,3,7282,NA,0.2,91
American Beauty Academy,3,5651,NA,0.3968253968,11
Summit Salon Academy,3,8000,NA,0.5376884422,148
Paul Mitchell the School-Milwaukee,3,6750,NA,0.4558139535,111
Touro University Worldwide,2,14437,0.4773,PS,416
Touro University California,2,12500,NA,0.8,NA
The Chicago School at Washington DC,2,10250,NA,PS,NA
Touro University Nevada,2,12500,NA,0.8,19
Herzing University-Kenosha,2,11756,0.4737,0.3041105434,543
Herzing University-Brookfield,2,11756,0.6338,0.3041105434,378
Texas A&M University-San Antonio,1,12500,0.3035,NA,6224
Fortis Institute,3,6333,NA,0.2043369475,332
Southern Careers Institute-Brownsville,3,7389,NA,0.1807856129,637
Southern Careers Institute-Harlingen,3,7389,NA,0.1807856129,437
Strayer University-Global Region,3,14000,0.2439,0.2382231351,10087
Kenneth Shuler School of Cosmetology-Florence,3,5825,NA,0.2078313253,178
Fortis College-Columbia,3,9500,NA,0.2367953839,513
Ross Medical Education Center-Davison,3,7719,NA,0.3100107643,39
Ross Medical Education Center-Granger,3,8481,NA,0.3016591252,115
Ross Medical Education Center-Niles,3,5500,NA,0.3177172061,69
Ross Medical Education Center-Canton,3,7504,NA,0.2767894084,90
Pima Medical Institute-Houston,3,9500,NA,0.4626200015,1019
Illinois Media School-Chicago Campus,3,9500,NA,0.3620689655,48
Miller-Motte College-STVT-San Antonio,3,10661,NA,0.3413775767,592
Concorde Career College-Dallas,3,9500,NA,0.4109178164,183
Concorde Career Institute-Orlando,3,9500,NA,0.2819188192,145
Concorde Career College-San Antonio,3,9500,NA,0.3313521545,122
Johnson & Wales University-Online,2,16334,PS,0.6799300843,1980
Fairfax University of America,2,PS,PS,NA,5
Moreno Valley College,1,6625,NA,0.4035087719,8292
Norco College,1,5500,NA,0.3703703704,8359
Dorsey College-Saginaw,3,9500,NA,0.2051093098,199
Milan Institute of Cosmetology-El Paso,3,6070,NA,0.2181580666,407
Universal Technical Institute-Dallas Fort Worth,3,11574,NA,0.4871115819,1661
ICPR Junior College,3,PS,NA,PS,414
Artistic Nails and Beauty Academy-Lakeland,3,6333,NA,0.1346153846,192
Hawaii Medical College,3,10500,NA,0.4985422741,217
Carolina College of Hair Design Inc,3,4712,NA,NA,46
Integrated Massage Therapy Services,3,PS,NA,0.6470588235,16
Miller-Motte College-Jacksonville,3,10661,NA,0.3413775767,187
Miller-Motte College-Augusta,3,10661,NA,0.3413775767,524
Miller-Motte College-Conway,3,10661,NA,0.3413775767,164
Aveda Institute-Portland,3,6211,NA,0.4970930233,171
Chamberlain University-Virginia,3,16458,PS,0.595370464,567
Penrose Academy,3,6333,NA,0.5677966102,390
Skin Institute,3,6895,NA,0.6292134831,83
Beauty Academy of South Florida,3,6223,NA,0.4350282486,348
Ogle School Hair Skin Nails-North Dallas,3,7369,NA,0.3288590604,320
The Salon Professional Academy,3,6333,NA,0.5,92
The Salon Professional Academy-St Charles,3,8243,NA,0.4344262295,117
Mildred Elley-New York Campus,3,12000,NA,0.2176541717,1004
Crestpoint University,3,13994,0.3334,0.2894736842,388
Carolina College of Biblical Studies,2,17500,PS,PS,122
Northeast Technology Center,1,PS,NA,NA,1340
Allstate Hairstyling & Barber College,3,PS,NA,NA,41
Omega Graduate School,2,NA,NA,NA,NA
Jung Tao School of Classical Chinese Medicine,2,PS,NA,NA,NA
New York Film Academy,3,10750,0.6942,0.491638796,965
International College of Cosmetology,3,PS,NA,NA,125
Bella Capelli Academy,3,8028,NA,0.5174418605,194
Institute of Medical Careers,3,12488,NA,PS,866
Flagler Technical College,1,PS,NA,NA,91
Galaxy Medical College,3,9500,NA,0.6451612903,65
American Medical Sciences Center,3,15418,0.7647,0.4590163934,200
Mandalyn Academy,3,6333,NA,0.5211267606,62
Jose Maria Vargas University,3,14250,NA,PS,83
D A Dorsey Technical College,1,PS,NA,NA,275
Keweenaw Bay Ojibwa Community College,1,PS,NA,NA,147
Meridian Institute of Surgical Assisting,3,6840,NA,0.6,788
Mauna Loa Helicopters,3,PS,NA,PS,12
Acaydia School of Aesthetics,3,7590,NA,0.7777777778,116
Holistic Massage Training Institute,3,8550,NA,PS,28
Diamonds College,3,5500,NA,0.2987012987,36
Northern Virginia School of Therapeutic Massage,3,6333,NA,0.7327586207,87
Paul Mitchell the School-St Louis,3,9833,NA,0.38996139,209
Advanced Training Institute,3,7600,NA,0.3475783476,545
Shepherds Theological Seminary,2,PS,NA,NA,NA
Taylor Andrews Academy of Hair Design-West Jordan,3,9500,NA,0.4402515723,165
Santa Ana Beauty Academy,3,PS,NA,NA,45
Manna University,2,9500,0.766,PS,169
Evolve Beauty Academy,3,7892,NA,PS,21
Aveda Institute-New Mexico,3,6333,NA,0.4898989899,157
American Trade School,3,PS,NA,0.4315068493,140
Estelle Skin Care and Spa Institute,3,7136,NA,0.7284768212,121
Elite Cosmetology School,3,6333,NA,0.3243243243,123
American Technical Institute,3,PS,NA,NA,27
Bergin University of Canine Studies,2,PS,NA,PS,18
Aveda Institute-Boise,3,5846,NA,0.15625,93
Pima Medical Institute-Aurora,3,5500,NA,0.4047619048,290
Capilo School of Hair Design,3,6333,NA,0.5126582278,133
Pure Aesthetics Natural Skincare School,3,6333,NA,0.7090909091,53
Lindsey Institute of Cosmetology,3,6009,NA,0.3069306931,65
Buckner Barber School,3,4750,NA,PS,42
Simmons College of Kentucky,2,PS,0.3176,NA,381
Atelier Esthetique Institute of Esthetics,3,5846,NA,0.5965665236,244
Advanced College of Cosmetology,3,9819,NA,0.3818181818,34
North American University,2,4750,0.3582,0.156626506,573
United Beauty College,3,PS,NA,NA,12
Cinta Aveda Institute,3,5500,NA,0.5288135593,95
Long Island Nail Skin & Hair Institute,3,5319,NA,0.5225225225,149
Keser Torah-Mayan Hatalmud,2,PS,PS,NA,59
Southern California Health Institute,3,9500,NA,0.4811529933,69
Best Care College,3,12970,NA,PS,46
First Class Cosmetology School,3,7847,NA,0.218487395,104
Millennia Atlantic University,3,PS,0.52,PS,104
Abcott Institute,3,8708,NA,0.1046511628,166
The Salon Professional Academy-Kenosha,3,6333,NA,0.4358974359,95
Paul Mitchell the School-Indianapolis,3,8500,NA,0.453125,224
Taylor Andrews Academy-St George,3,7000,NA,0.4108527132,162
Protege Academy,3,9833,NA,0.2222222222,68
Colorado Academy of Veterinary Technology,3,19704,NA,0.35,25
Northeast Technical Institute,3,8550,NA,0.44140625,274
Elite School of Cosmetology,3,4806,NA,0.2745098039,179
Paul Mitchell the School-Las Vegas,3,10556,NA,0.5390946502,219
Summit Salon Academy-Kokomo,3,8867,NA,0.3490566038,103
Florida Academy,3,6333,NA,0.4911242604,408
Institute for Doctoral Studies in the Visual Arts,2,NA,NA,NA,NA
State Career College,3,9500,NA,0.1688311688,140
Academy for Salon Professionals,3,6304,NA,0.641221374,140
Paul Mitchell the School-Spokane,3,6028,NA,0.4028776978,195
International College of Beauty Arts & Sciences,3,6333,NA,PS,59
John Paul the Great Catholic University,2,21500,0.6913,0.7659574468,297
University of Connecticut-Hartford Campus,1,18610,0.6388,0.7798093248,1473
Ottawa University-Surprise,2,12500,0.2252,0.4652137469,768
Chamberlain University-Missouri,3,16458,PS,0.595370464,328
Chamberlain University-Texas,3,16458,PS,0.595370464,2416
Continental School of Beauty Culture-Mattydale,3,6333,NA,0.3609360936,145
Paul Mitchell the School-Columbia,3,9500,NA,0.3973288815,300
Paul Mitchell the School-Charleston,3,9500,NA,0.3973288815,266
Kenneth Shuler School of Cosmetology-Greenville,3,5724,NA,0.2664974619,133
Northwest College-Eugene,3,6333,NA,0.2794486216,119
Northwest College-Tualatin,3,6333,NA,0.2794486216,28
CET-Soledad,2,6729,NA,0.3120107962,179
UEI College-Oceanside,3,9500,NA,0.2426105153,777
Paul Mitchell the School-New Orleans,3,9833,NA,0.5287671233,226
UEI College-Garden Grove,3,9500,NA,0.2426105153,1093
New England Tractor Trailer Training School of Massachusetts,3,6333,NA,0.4592889908,527
Dewey University-Manati,2,5000,0.6834,PS,255
Allen School-Phoenix,3,9500,NA,0.2817098809,11
Oklahoma Technical College,2,7934,NA,0.335538184,120
Unitech Training Academy-Alexandria,3,6859,NA,0.395465995,82
UEI College-Riverside,3,9433,NA,0.2214072263,1447
WellSpring School of Allied Health-Lawrence,3,7917,NA,0.5311004785,36
Manuel and Theresa's School of Hair Design-Victoria,3,6692,NA,0.141025641,17
Tricoci University of Beauty Culture-Chicago NE,3,7307,NA,0.3884297521,135
Los Angeles Pacific University,2,10806,0.3188,NA,1453
Avalon Institute-Phoenix,3,6312,NA,0.3393708294,382
Avalon Institute-Layton,3,6312,NA,0.3393708294,217
Aveda Institute-Des Moines,3,6333,NA,0.5833333333,179
Fortis Institute-Lawrenceville,3,9100,NA,0.3538083538,305
Relay Graduate School of Education,2,PS,NA,NA,93
Miller-Motte College-Macon,3,10661,NA,0.3413775767,206
South University-Savannah Online,3,13000,0.0559,0.2547585843,6492
San Joaquin Valley College-Temecula,3,9773,NA,0.3015602145,649
Whitworth University-Adult Degree Programs,2,18000,NA,0.7342465753,170
The Colleges of Law at Santa Barbara,2,PS,NA,NA,NA
Springfield College-Regional Online and Continuing Education,2,23000,NA,0.5502502888,254
Marian Health Careers Center-Van Nuys Campus,3,10916,NA,0.5069124424,88
Milan Institute-Las Vegas,3,6333,NA,0.2476060192,214
Catholic International University,2,PS,NA,NA,95
New York School of Esthetics & Day Spa,3,6333,NA,0.6666666667,164
Finger Lakes Health College of Nursing & Health Sciences,2,8250,NA,0.4017857143,65
ASI Career Institute,3,6333,NA,0.4,33
Christine Valmy International School of Esthetics & Cosmetology,3,5173,NA,0.5625,247
Paul Mitchell the School-Arlington,3,7457,NA,0.4402116402,265
Rocky Mountain University of Health Professions,3,NA,NA,NA,NA
Paul Mitchell the School-Fort Myers,3,8389,NA,0.4214876033,108
Paul Mitchell the School-Raleigh,3,9833,NA,0.3333333333,133
CUNY Stella and Charles Guttman Community College,1,5000,NA,PS,1054
Lil Lou's Beauty and Barber College,3,9500,NA,PS,40
Criswell College,2,11803,0.587,PS,118
Beverly Hills Design Institute,3,PS,PS,PS,14
Reflections Academy of Beauty,3,9500,NA,PS,29
UCAS University of Cosmetology Arts & Sciences-La Joya,3,6083,NA,0.3453355155,52
Annenberg School of Nursing,2,14385,NA,PS,24
American Medical Academy,3,9500,0.6531,0.4838709677,303
Tooele Technical College,1,PS,NA,NA,313
Chamberlain University-Georgia,3,16458,PS,0.595370464,1588
Chamberlain University-Indiana,3,16458,PS,0.595370464,177
Sessions College for Professional Design,3,9500,0.4688,PS,152
Tulsa Welding School-Jacksonville,3,6886,NA,0.3273514851,394
Empire Beauty School-Virginia Beach,3,7050,NA,0.2604951561,169
Ross College-Morgantown,3,8481,NA,0.3016591252,16
Miami Ad School-New York,3,16849,NA,0.7317073171,32
Larry's Barber College,3,3723,NA,0.1219512195,81
Futura Career Institute,3,PS,NA,NA,478
Vogue College of Cosmetology-San Antonio Fredericksburg,3,5500,NA,0.4269662921,122
Vogue College of Cosmetology,3,6333,NA,0.3698630137,136
Tomorrow's Image Barber And Beauty Academy of Virginia,3,9500,NA,PS,18
Medical Allied Career Center,3,17130,NA,0.3235294118,64
Bais HaMedrash and Mesivta of Baltimore,2,PS,0.4444,NA,91
Barber & Beauty Institute of New York,3,3695,NA,0.1967213115,28
Salon Institute-Toledo Campus,3,9833,NA,0.4695652174,152
Athena Career Academy,3,14120,NA,0.2052401747,395
Yeshiva Gedolah Zichron Leyma,2,PS,PS,NA,47
The Barber School,3,5500,NA,0.4247787611,145
Be'er Yaakov Talmudic Seminary,2,PS,0.5521,NA,679
Rio Grande Valley College,3,10473,NA,0.3353658537,818
Alexander Academy,3,7358,NA,0.2638888889,30
Aveda Institute-Tucson,3,6333,NA,0.5398230088,264
Diamond Beauty College,3,PS,NA,NA,73
Unitek College,3,10699,NA,0.6564885496,255
University Academy of Hair Design,3,9833,NA,0.35,38
Florida Institute of Recording Sound and Technology,3,7853,NA,0.4121212121,413
Paul Mitchell the School-Reno,3,8149,NA,0.4590163934,212
Boise Barber College,3,9500,NA,0.3855421687,82
Austin Kade Academy,3,5780,NA,0.399122807,116
Aesthetic Science Institute,3,6333,NA,0.6493506494,157
Elaine Sterling Institute,3,6333,NA,0.4795918367,653
Wade Gordon Hairdressing Academy,3,7710,NA,0.3142857143,134
Mitsu Sato Hair Academy,3,9500,NA,0.4615384615,97
FVI School of Nursing and Technology,3,9294,NA,0.609375,553
Colorado State University Global,1,14405,NA,0.5407960199,6202
Paul Mitchell the School-Overland Park,3,9500,NA,0.3962264151,189
Medspa Academies,3,9500,NA,0.6594202899,263
Brighton Institute of Cosmetology,3,7157,NA,PS,44
West Coast University-Texas,3,24145,PS,0.69375,1014
Evangel University-James River Assembly of God Church,2,17495,NA,0.6453488372,98
Empire Beauty School-Savannah,3,6222,NA,0.2591424968,137
Ogle School Hair Skin Nails-Denton,3,7916,NA,0.3418693982,198
Empire Beauty School-West Greensboro,3,7050,NA,0.2604951561,124
Hays Academy of Hair Design,3,9833,NA,0.4868421053,49
Bellus Academy,3,6333,NA,0.5360230548,223
MotoRing Technical Training Institute,3,9350,NA,0.5483870968,143
Unitek College,3,10699,NA,0.6564885496,326
Pennsylvania State University-World Campus,1,19500,0.3495,0.6791956399,7554
MCI Institute of NJ,3,6473,NA,0.3666666667,162
Advance Beauty Techs Academy,3,5298,NA,0.2878787879,85
Elevate Salon Institute-Westminster,3,6333,NA,0.34375,115
Brand College,3,NA,NA,NA,12
Hinton Barber and Beauty College,3,9833,NA,PS,62
Advanced Career Institute,3,6229,NA,0.4262295082,780
Digital Film Academy,3,5500,NA,0.3939393939,60
MyComputerCareer at Raleigh,3,9500,NA,0.7147651007,1617
South University-Austin,3,13000,0.0526,0.2547585843,243
Bryant & Stratton College-Online,2,9500,0.2075,0.1873163434,7847
Ogle School Hair Skin Nails-San Antonio,3,7916,NA,0.3418693982,438
Ideal Beauty Academy,3,PS,NA,0.2807017544,7
Warner Pacific University Professional and Graduate Studies,2,20250,0.3674,0.4925373134,161
Platt College-Riverside,3,15215,0.5908,0.3419607843,416
Empire Beauty School-Glen Burnie,3,8028,NA,0.2879914984,73
UEI College-Stockton,3,9500,NA,0.2426105153,823
Ross Medical Education Center-Dayton,3,9389,NA,0.3171806167,106
Ross Medical Education Center-Ontario,3,7719,NA,0.3100107643,37
Ross Medical Education Center-Bowling Green,3,7504,NA,0.2767894084,66
Florida Institute of Technology-Online,2,14049,NA,0.3697735192,628
Rasmussen University-Kansas,3,13000,0.5,0.3513632366,333
School of Missionary Aviation Technology,2,12000,NA,PS,36
California Miramar University,3,12664,0.4444,PS,105
Rocky Vista University,3,NA,NA,NA,NA
The College of Health Care Professions-Dallas,3,9096,NA,0.3424317618,633
The College of Health Care Professions-Fort Worth,3,9473,NA,0.3218982276,1025
Shear Finesse Beauty Academy,3,9500,NA,PS,31
Miami Media School,3,9500,NA,0.2790697674,37
Academy of Salon Professionals,3,7917,NA,PS,46
CyberTex Institute of Technology,3,6776,NA,0.2653061224,195
New England Tractor Trailer Training School of CT-Bridgeport,3,6333,NA,0.3757934829,517
Designer Barber & Stylist School,3,10203,NA,PS,91
College of the Muscogee Nation,1,PS,NA,NA,230
The Salon Professional Academy-Huntsville,3,9833,NA,PS,56
Midwives College of Utah,2,8270,PS,PS,253
Aspen Beauty Academy of Laurel,3,9833,NA,0.4042553191,118
M T Training Center,3,6755,NA,PS,261
Berks Career & Technology Center,1,3732,NA,PS,47
Future Generations University,2,PS,NA,NA,NA
Carthage R9 School District-Carthage Technical Center,1,14458,NA,PS,17
Grace Mission University,2,PS,0.625,NA,72
World A Cuts Barber Institute,3,NA,NA,NA,30
Verve College,3,9500,NA,0.4590163934,257
Sotheby's Institute of Art-NY,3,PS,NA,NA,NA
Top Nails & Hair Beauty School,3,PS,NA,NA,104
Santa Ana Beauty College,3,PS,NA,NA,74
Shepherds College,2,16035,NA,PS,91
Woodruff Medical and Wellness Training,3,7917,NA,PS,71
Helms College,2,8208,NA,0.1888888889,150
Ukiah Adult School,1,PS,NA,NA,0
Riverside County Office of Education-School of Career Education,1,5500,NA,NA,108
Institute of Health Sciences,3,9500,NA,PS,176
Mid-South Christian College,2,PS,PS,NA,23
New York Institute of Beauty,3,5330,NA,PS,241
Ultrasound Medical Institute,3,17414,NA,PS,110
Xavier College School of Nursing,3,16156,NA,PS,87
Lawrence & Company College of Cosmetology,3,4963,NA,PS,34
Kaizen Beauty Academy,3,5200,NA,PS,86
Sharp Edgez Barber Institute,3,5426,NA,PS,63
The Salon Professional Academy-Nashville,3,9823,NA,0.6666666667,34
Prestige Health & Beauty Sciences Academy,3,6333,NA,PS,41
California Career Institute,3,17363,NA,0.75,517
Grace School of Theology,2,PS,NA,NA,215
Yeshiva Gedolah Kesser Torah,2,PS,0.4,NA,82
Universal Training Institute,3,9500,NA,PS,133
Yeshiva Yesodei Hatorah,2,PS,0.0652,NA,72
Center for the Healing Arts,3,6333,NA,PS,36
Bonnie Joseph Academy of Cosmetology & Barbering,3,PS,NA,PS,15
Healthcare Training Institute,3,19000,NA,PS,124
J D Academy of Salon and Spa,3,6211,NA,PS,106
Boca Beauty Academy,3,5848,NA,0.4777777778,211
SPBK Enterprises Inc,3,6500,NA,PS,102
The Chrysm Institute of Esthetics,3,6333,NA,PS,255
Sanford Burnham Prebys Medical Discovery Institute,2,NA,NA,NA,NA
Belle Academy of Cosmetology LLC,3,PS,NA,PS,12
Empire Beauty School-Augusta,3,7851,NA,0.2978723404,88
South University-High Point,3,13000,0.1154,0.2547585843,70
Empire Beauty School-Vernon Hills,3,7050,NA,0.2604951561,57
Empire Beauty School-Stone Park,3,7050,NA,0.2604951561,118
San Joaquin Valley College-Lancaster,3,9773,NA,0.3015602145,239
Empire Beauty School-Rochester,3,6222,NA,0.2591424968,83
Ross Medical Education Center-Kokomo,3,9389,NA,0.3171806167,51
Ross Medical Education Center-Erlanger,3,7719,NA,0.3100107643,67
Ross Medical Education Center-Charleston,3,5500,NA,0.3177172061,36
InterCoast Colleges-Fairfield,3,9500,NA,0.2539377641,139
Southern Careers Institute-San Antonio,3,7389,NA,0.1807856129,939
Milan Institute-Merced,3,6333,NA,0.2476060192,308
Midwest Technical Institute-Missouri,3,9251,NA,0.2828070175,335
Augusta University,1,13015,0.4935,0.5605442177,5282
Middle Georgia State University,1,9500,0.2465,0.3333333333,6655
Trenz Beauty Academy,3,5500,NA,PS,73
Paul Mitchell the School-Denver,3,6788,NA,PS,231
Academy of Interactive Entertainment,2,12000,NA,PS,76
Arrojo Cosmetology School,3,10083,NA,PS,107
Cosmetology Academy of Texarkana,3,7917,NA,PS,55
Veritas Baptist College,2,11783,0.3333,NA,114
Lynnes Welding Training,3,3385,NA,NA,36
Aviation Institute of Maintenance-Las Vegas,3,20500,NA,0.1935483871,332
UEI College-Bakersfield,3,9445,NA,0.2124798279,1385
DeVry College of New York,3,12805,0.2727,0.3764165573,175
DeVry University-Arizona,3,12805,0.3143,0.3764165573,22
